ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10278847,HY467359,10/18/2015 10:45:00 PM,037XX W MYRICK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0833,008,18,70,08B,1152445,1852093,2015,10/25/2015 03:55:25 PM,41.749998751,-87.716951479,"(41.749998751, -87.716951479)"
10279015,HY467518,10/18/2015 10:45:00 PM,024XX W LUNT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2411,024,50,2,14,1158826,1946393,2015,10/25/2015 03:55:25 PM,42.008639005,-87.690982183,"(42.008639005, -87.690982183)"
10278964,HY467351,10/18/2015 10:45:00 PM,087XX S ESCANABA AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0423,004,10,46,08B,,,2015,10/25/2015 03:55:25 PM,,,
10284105,HY471909,10/18/2015 10:34:00 PM,017XX W HOWARD ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,2422,024,49,1,06,,,2015,10/25/2015 03:55:25 PM,,,
10278935,HY467352,10/18/2015 10:30:00 PM,017XX E 78TH ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0414,004,8,43,04B,,,2015,10/25/2015 03:55:25 PM,,,
10279580,HY467716,10/18/2015 10:30:00 PM,058XX S KEELER AVE,0810,THEFT,OVER $500,STREET,false,false,0813,008,13,62,06,1149372,1865384,2015,10/25/2015 03:55:25 PM,41.78653132,-87.727869597,"(41.78653132, -87.727869597)"
10278825,HY467348,10/18/2015 10:30:00 PM,033XX W VAN BUREN ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1134,011,28,27,18,1153961,1897823,2015,10/25/2015 03:55:25 PM,41.875458145,-87.710180976,"(41.875458145, -87.710180976)"
10279310,HY467539,10/18/2015 10:30:00 PM,015XX N ASTOR ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,STREET,false,false,1824,018,43,8,14,1176342,1910561,2015,10/25/2015 03:55:25 PM,41.909936584,-87.627622427,"(41.909936584, -87.627622427)"
10278867,HY467379,10/18/2015 10:20:00 PM,039XX N WHIPPLE ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,ALLEY,false,false,1733,017,33,16,14,1155352,1925974,2015,10/25/2015 03:55:25 PM,41.952679028,-87.704315688,"(41.952679028, -87.704315688)"
10278861,HY467347,10/18/2015 10:20:00 PM,038XX N WHIPPLE ST,1020,ARSON,BY FIRE,ALLEY,false,false,1733,017,33,16,09,1155367,1925438,2015,10/25/2015 03:55:25 PM,41.951207907,-87.70427501,"(41.951207907, -87.70427501)"
